Name	IUPAC
CFG-7-Sp8	Gal(α-Sp8
CFG-8-Sp8	Glc(α-Sp8
CFG-9-Sp8	Man(α-Sp8
CFG-10-Sp8	GalNAc(α-Sp8
CFG-10-Sp15	GalNAc(α-Sp15
CFG-11-Sp8	Fuc(α-Sp8
CFG-11-Sp9	Fuc(α-Sp9
CFG-12-Sp8	Rha(α-Sp8
CFG-13-Sp8	Neu5Ac(α-Sp8
CFG-13-Sp11	Neu5Ac(α-Sp11
CFG-14-Sp8	Neu5Ac(β-Sp8
CFG-15-Sp8	Gal(β-Sp8
CFG-16-Sp8	Glc(β-Sp8
CFG-17-Sp8	Man(β-Sp8
CFG-18-Sp8	GalNAc(β-Sp8
CFG-19-Sp0	GlcNAc(β-Sp0
CFG-19-Sp8	GlcNAc(β-Sp8
CFG-20-Sp8	GlcN(Gc)(β-Sp8
CFG-21-Sp8	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]GalNAc(α-Sp8
CFG-21-Sp14	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]GalNAc(-Sp14
CFG-22-Sp8	GlcNAc(β1-6)[GlcNAc(β1-4)][GlcNAc(β1-3)]GlcNAc(-Sp8
CFG-23-Sp0	Gal3,6OS2(β1-4)GlcNAc6OS(β-Sp0
CFG-24-Sp0	Gal3,6OS2(β1-4)GlcNAc(β-Sp0
CFG-25-Sp0	Gal3OS(β1-4)[Fuc(α1-3)]Glc6OS(-Sp0
CFG-26-Sp8	Gal3OS(β1-4)Glc(β-Sp8
CFG-27-Sp0	Gal3OS(β1-4)Glc6OS(β-Sp0
CFG-27-Sp8	Gal3OS(β1-4)Glc6OS(β-Sp8
CFG-29-Sp8	Gal3OS(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp8
CFG-30-Sp8	Gal3OS(β1-3)GalNAc(α-Sp8
CFG-31-Sp0	Gal3OS(β1-3)GlcNAc(β-Sp0
CFG-31-Sp8	Gal3OS(β1-3)GlcNAc(β-Sp8
CFG-32-Sp0	Gal3OS(β1-4)[Fuc(α1-3)]GlcNAc(-Sp0
CFG-32-Sp8	Gal3OS(β1-4)[Fuc(α1-3)]GlcNAc(-Sp8
CFG-33-Sp0	Gal3OS(β1-4)GlcNAc6OS(β-Sp0
CFG-33-Sp8	Gal3OS(β1-4)GlcNAc6OS(β-Sp8
CFG-34-Sp0	Gal3OS(β1-4)GlcNAc(β-Sp0
CFG-34-Sp8	Gal3OS(β1-4)GlcNAc(β-Sp8
CFG-35-Sp8	Gal3OS(β-Sp8
CFG-37-Sp0	Gal4,6OS2(β1-4)GlcNAc(β-Sp0
CFG-38-Sp8	Gal4OS(β1-4)GlcNAc(β-Sp8
CFG-39-Sp8	Man6OP(α-Sp8
CFG-40-Sp0	Gal6OS(β1-4)Glc(β-Sp0
CFG-40-Sp8	Gal6OS(β1-4)Glc(β-Sp8
CFG-41-Sp8	Gal6OS(β1-4)GlcNAc(β-Sp8
CFG-42-Sp8	Gal6OS(β1-4)Glc6OS(β-Sp8
CFG-43-Sp8	Neu5Ac(α2-3)Gal6OS(β1-4)GlcNAc(β-Sp8
CFG-44-Sp8	GlcNAc6OS(β-Sp8
CFG-46-Sp8	Neu5,9Ac2(α-Sp8
CFG-47-Sp8	Neu5,9Ac2(α2-6)Gal(β1-4)GlcNAc(β-Sp8
CFG-48-Sp12	Man(α1-6)[Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
