Name	IUPAC	SMILES
CFG-7-Sp8	Gal(α-Sp8	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@H]1-OCCCN-C(=O)CCCOC
CFG-8-Sp8	Glc(α-Sp8	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1-OCCCN-C(=O)CCCOC
CFG-9-Sp8	Man(α-Sp8	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-OCCCN-C(=O)CCCOC
CFG-10-Sp8	GalNAc(α-Sp8	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](NC(=O)C)[C@H]1-OCCCN-C(=O)CCCOC
CFG-10-Sp15	GalNAc(α-Sp15	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](NC(=O)C)[C@H]1-OC[C@@H](C(=O)O)N-C(=O)CCCOC
CFG-11-Sp8	Fuc(α-Sp8	C[C@H](O1)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-11-Sp9	Fuc(α-Sp9	C[C@H](O1)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1-OCCCCCN-C(=O)CCCOC
CFG-12-Sp8	Rha(α-Sp8	C[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-13-Sp8	Neu5Ac(α-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-OCCCN-C(=O)CCCOC
CFG-13-Sp11	Neu5Ac(α-Sp11	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-OCc1ccc(cc1)NC(=O)CN-C(=O)CCCOC
CFG-14-Sp8	Neu5Ac(β-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@]1(C(=O)O)-OCCCN-C(=O)CCCOC
